#{"t_start": 1585888764.0573952, "env_id": null}
r,l,t
-0.21,31,6.164726
-0.12,22,10.298198
0.06,4,11.198091
0.67,33,17.315913
-0.06,16,27.401872
0.02,8,29.199908
0.29,71,42.332122
0.05,5,43.59902
-0.23,33,49.90365
-0.46,56,60.333139
-0.19,29,65.918802
-0.35,45,74.382995
-0.29,39,81.765527
-0.05,15,84.816647
-0.07,17,88.231785
0.17,83,103.53284
0.07,3,104.435192
0.07,3,105.332444
-0.39,49,114.522443
0.03,7,116.131863
0.06,4,117.222427
0.02,8,119.016841
0.03,7,120.634367
-0.03,13,123.334107
0.02,8,125.137486
-0.57,67,137.556663
-0.17,27,142.78337
0.05,5,144.03233
-0.74,84,159.517858
-1.24,134,184.003301
0.03,97,201.816919
0.88,12,204.332624
0.46,54,214.417446
0.56,44,222.699783
-0.17,27,227.917658
0.56,44,236.199734
-0.06,16,239.437606
-0.07,17,242.850653
-0.15,25,247.723844
-0.29,39,255.105104
0.02,8,256.900185
-0.13,23,261.404215
-0.06,16,264.633626
-0.09,19,268.417978
-0.3,40,275.984159
-0.07,17,279.399903
-0.17,27,284.617235
-0.55,65,296.684051
0.79,21,300.817852
0.62,38,308.024373
-0.1,20,311.98601
-0.08,18,315.584595
-0.08,18,319.184333
0.86,14,322.052
0.07,3,322.95817
0.7,30,328.717668
0.55,45,337.184762
0.28,72,350.500595
0.07,3,351.401015
-0.09,19,355.172214
0.55,45,363.633937
0.03,7,365.251684
-0.28,38,372.451635
0.09,91,389.201556
-0.08,18,392.802011
-0.72,82,407.918917
