# {"t_start": 1585808911.5425708, "env_id": null} 
r,l,t
0.1,91,2.355328
-1.23,24,2.855621
-1.02,3,2.937663
-1.49,50,3.957616
-1.08,9,4.154843
0.96,5,4.270065
-1.54,55,5.407691
-1.08,9,5.603961
0.56,45,6.533748
-1.12,13,6.791373
-0.99,100,8.824382
-0.99,100,10.836729
-1.36,37,11.592066
-1.07,8,11.780448
-1.01,2,11.837026
-1.86,87,13.590785
-1.22,23,14.076515
-1.01,2,14.140753
0.93,8,14.321242
0.98,3,14.410409
-0.99,100,16.40756
-1.05,6,16.558183
1.0,1,16.592088
0.82,19,17.004007
-0.99,100,19.007554
-1.69,70,20.436882
-0.99,100,22.453825
-1.92,93,24.340762
0.9,11,24.571437
0.98,3,24.65362
0.89,12,24.920186
-1.3,31,25.553359
-1.25,26,26.086681
-1.13,14,26.391682
0.91,10,26.630484
0.5,51,27.64273
-1.08,9,27.857727
-1.82,83,29.544399
-1.06,7,29.687136
0.47,54,30.791613
0.99,2,30.854722
0.89,12,31.12349
0.99,2,31.176347
-1.03,4,31.273664
0.98,3,31.35646
0.9,11,31.605424
-1.01,2,31.653292
0.97,4,31.753209
0.89,12,32.021237
-1.23,24,32.525457
-1.47,48,33.507627
0.71,30,34.121873
-1.0,1,34.155313
1.0,1,34.203521
-1.0,1,34.237447
-1.55,56,35.371617
-1.45,46,36.315282
0.96,5,36.43955
-0.99,100,38.456453
-1.1,11,38.689029
0.43,58,39.874021
-1.0,1,39.924884
0.13,88,41.691604
-0.99,100,43.706393
0.86,15,44.041196
0.98,3,44.105852
0.56,45,45.040665
-1.23,24,45.540697
0.69,32,46.190817
-1.78,79,47.808385
0.89,12,48.056319
-1.13,14,48.356079
0.32,69,49.770329
-1.0,1,49.79424
0.26,75,51.307896
-0.99,100,53.341832
-1.68,69,54.742443
0.68,33,55.407285
-1.0,1,55.458858
0.93,8,55.640399
-0.99,100,57.658122
0.82,19,58.058473
-1.84,85,59.773675
0.8,21,60.207659
0.85,16,60.55863
-1.17,18,60.940605
1.0,1,60.97456
-0.99,100,62.996846
-1.01,2,63.056721
-1.4,41,63.892455
-1.55,56,65.0423
-1.77,78,66.624409
0.57,44,67.525516
0.93,8,67.690346
-1.27,28,68.274402
0.51,50,69.291458
0.87,14,69.591874
0.7,31,70.240511
-1.42,43,71.107972
-1.27,28,71.691499
-1.13,14,72.002399
0.84,17,72.359504
-0.99,100,74.374396
-1.05,6,74.507318
0.93,8,74.691927
0.71,30,75.307564
0.97,4,75.407462
0.98,3,75.492297
0.51,50,76.523891
0.61,40,77.340745
0.64,37,78.092126
0.89,12,78.351085
-1.28,29,78.957731
0.99,2,79.024722
0.93,8,79.190463
-1.2,21,79.640903
-1.54,55,80.758788
0.51,50,81.774305
-1.16,17,82.140634
0.79,22,82.59155
-1.02,3,82.673925
0.78,23,83.157516
-1.0,1,83.191454
-1.3,31,83.840699
0.28,73,85.325277
1.0,1,85.358206
-0.99,100,87.375892
0.7,31,88.026557
0.94,7,88.17783
0.96,5,88.291646
0.73,28,88.87578
-1.01,2,88.941251
0.3,71,90.376798
0.75,26,90.924512
0.66,35,91.642542
-1.3,31,92.274455
0.82,19,92.675591
0.77,24,93.174818
0.92,9,93.377785
-0.99,100,95.392593
-1.07,8,95.575181
-1.01,2,95.639699
0.74,27,96.213454
-1.17,18,96.574826
-1.07,8,96.759423
-0.99,100,98.774654
0.93,8,98.959082
0.76,25,99.474235
0.71,30,100.092539
0.84,17,100.458686
0.73,28,101.04058
-1.07,8,101.207939
0.75,26,101.758617
-1.24,25,102.290819
-1.07,8,102.46664
0.68,33,103.142269
1.0,1,103.174155
-1.75,76,104.723617
-0.99,100,106.741502
0.66,35,107.457835
